iter	Passed	Remaining
0	136	136103
1	137	68860
2	139	46449
3	141	35196
4	143	28463
5	144	23934
6	145	20704
7	147	18276
8	149	16409
9	150	14891
10	152	13689
11	153	12656
12	155	11779
13	156	11015
14	156	10306
15	157	9682
16	157	9131
17	158	8640
18	158	8200
19	159	7803
20	159	7444
21	160	7119
22	160	6821
23	160	6547
24	161	6296
25	161	6066
26	162	5852
27	162	5653
28	163	5467
29	163	5295
30	164	5134
31	164	4982
32	165	4839
33	165	4709
34	166	4582
35	166	4462
36	167	4348
37	167	4241
38	167	4139
39	168	4041
40	168	3949
41	169	3861
42	169	3777
43	170	3697
44	170	3621
45	171	3549
46	171	3479
47	172	3411
48	172	3346
49	172	3285
50	173	3226
51	173	3168
52	174	3113
53	174	3060
54	175	3009
55	175	2961
56	176	2914
57	176	2867
58	177	2823
59	177	2780
60	177	2738
61	178	2698
62	178	2659
63	179	2621
64	179	2585
65	180	2550
66	180	2515
67	180	2478
68	181	2445
69	181	2413
70	182	2383
71	182	2353
72	182	2323
73	183	2295
74	183	2267
75	184	2240
76	184	2214
77	185	2188
78	185	2163
79	186	2139
80	186	2115
81	186	2092
82	187	2071
83	187	2049
84	188	2026
85	188	2005
86	189	1983
87	189	1963
88	189	1944
89	190	1925
90	190	1906
91	191	1887
92	191	1869
93	192	1851
94	192	1834
95	192	1817
96	193	1800
97	193	1783
98	194	1768
99	194	1752
100	195	1737
101	195	1720
102	195	1705
103	196	1690
104	196	1676
105	197	1663
106	197	1649
107	198	1635
108	198	1622
109	198	1609
110	199	1596
111	199	1583
112	200	1571
113	200	1559
114	201	1547
115	201	1535
116	201	1523
117	202	1512
118	202	1500
119	203	1489
120	203	1478
121	204	1468
122	204	1456
123	204	1446
124	205	1435
125	205	1425
126	205	1415
127	206	1405
128	206	1395
129	207	1386
130	207	1376
131	207	1367
132	208	1358
133	208	1350
134	209	1341
135	209	1332
136	210	1324
137	210	1315
138	211	1307
139	211	1299
140	211	1291
141	212	1283
142	212	1275
143	213	1267
144	213	1259
145	214	1252
146	214	1244
147	214	1237
148	215	1230
149	215	1222
150	216	1215
151	216	1208
152	217	1201
153	217	1195
154	217	1188
155	218	1181
156	218	1175
157	219	1168
158	219	1162
159	220	1155
160	220	1149
161	220	1143
162	221	1137
163	221	1130
